Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8860103626943006,0.9004166817638319,0.8860103626943006,0.8904176196922312
SVM (Linear),0.927461139896373,0.9263597737449087,0.927461139896373,0.9267666702899864
Random Forest,0.9222797927461139,0.9254658241486383,0.9222797927461139,0.9163234132260717
XGBoost,0.9119170984455959,0.9091419375098132,0.9119170984455959,0.9086788982046357
SBERT + SVM,0.844559585492228,0.8995899181938104,0.844559585492228,0.8564061561666411
